! ======================================================================
! list of species having a particular structure 
! ----------------------------------------------------------------------
!
! This file is read up to the keyword END. Comment line (! as first
! character) can be placed everywhere in the file.
!                                                                                                        
! The format of the line is fixed: the first 6 character is the code 
! for the species. The "formula" start at the position 10 and end at
! position 100. Additional information on the functional group on
! the carbon backbone are given at position 132 to 146.
!
! Special formula must start with a '#' at the first character
! It is also better to use lower case in the formula to avoid any
! confusion with characters "C","O","H" ... used for atom
! Special formulae that do not transcribe the chemical structure 
! should NOT begin with {'C','c','-O'}, i.e. use 'S' to denote 'cis'.
!
! The code of the species is "free". However, it is better to
! avoid a numerical (0-9) at the third position to avoid confusion
! with name given automatically by the generator
!
! ======================================================================
!XC       #lostcarbon                                                                                                               0.0
C2H2     #ethyne
C3H4     #propyne
C4H601   #1-butyne
C4H602   #2-butyne
C50361   #CH2(ONO2)CH(OH)C(OOH)(CH3)CO(OONO2)                                                                                      HNPO
C50362   #CH2(ONO2)CH(OH)C(ONO2)(CH3)CO(OH)                                                                                        ANNO
C50363   #CH2(ONO2)CH(OH)C(ONO2)(CH3)CO(OOH)                                                                                       GNNO
C50364   #CH2(ONO2)CH(OH)C(ONO2)(CH3)CO(OONO2)                                                                                     NNPO
C50365   #CH2(ONO2)COC(ONO2)(CH3)CO(OO.)                                                                                           3.NNKK
C50366   #CH2(OH)COC(OO.)(CH2(OH))CH2(OH)                                                                                          2.KOOO
C50367   #CH2(OH)CH(OH)C(OO.)(CH2(OH))CHO                                                                                          2.DOOO
C50368   #CH2(OH)C(OH)(CH2(OH))CH(OO.)CHO                                                                                          2.DOOO
C50369   #CH2(OH)CH(ONO2)C(OOH)(CH2(OH))CH2(OH)                                                                                    HNOOO
C50370   #CH2(OH)CH(ONO2)C(ONO2)(CH2(OH))CH2(OH)                                                                                   NNOOO
C50371   #CH2(OH)CH(ONO2)C(O.)(CH2(OH))CH2(OH)                                                                                     1.NOOO
C50372   #CH2(OH)Cd(CO(OH))=CdH2                                                                                                   AUO
C50373   #CH2(OH)Cd(CO(OOH))=CdH2                                                                                                  GUO
C50374   #CH2(OH)Cd(CO(OONO2))=CdH2                                                                                                UPO
C50375   #CHOCd(CH2(OH))=Cd.(OO.)                                                                                                  4.UDO
C50376   #CH2(OH)C(OOH)(CH2(OH))CHO                                                                                                HDOO
C50377   #CH2(OH)C(O.)(CH2(OH))CHO                                                                                                 1.DOO
C50378   #C1H(OH)CO-O-COC1(OO.)CH3                                                                                                 2.TKKE
C50379   #CH3COCO-O-CH2CHO                                                                                                         DKKE
C50380   #CHOCH(ONO2)C(OH)(CH3)CO(OO.)                                                                                             3.NDKO
C50381   #CH2(OH)CH(ONO2)C(OH)(CH3)CO(OOH)                                                                                         GNOO
C50382   #CH2(OH)CH(ONO2)C(OH)(CH3)CO(OONO2)                                                                                       NPOO
C50383   #CH3C(ONO2)(CHO)CH(OH)CO(OO.)                                                                                             3.NDKO
C50384   #CHOCH(OH)C(ONO2)(CH3)CO(OO.)                                                                                             3.NDKO
C50385   #CH2(OH)CH(OH)C(ONO2)(CH3)CO(OH)                                                                                          ANOO
C50386   #CH2(OH)CH(OH)C(ONO2)(CH3)CO(OOH)                                                                                         GNOO
C50387   #CH2(OH)CH(OH)C(ONO2)(CH3)CO(OONO2)                                                                                       NPOO
C50388   #CHO-O-CdH=CdHCOCHO                                                                                                       UDDKE
C50389   #CHO-O-CdH=CdHCO(OO.)                                                                                                     3.UDKE
C50390   #CH3COCH(OO.)CH(OH)-O-CHO                                                                                                 2.DKOE
C50391   #CH3C(ONO2)(CH2(OH))CH(OOH)CO(OH)                                                                                         AHNO
C50392   #CH3C(ONO2)(CH2(OH))CH(OOH)CO(OOH)                                                                                        GHNO
C50393   #CH3C(ONO2)(CH2(OH))CH(OOH)CO(OONO2)                                                                                      HNPO
C50394   #CH3C(ONO2)(CH2(OH))CH(ONO2)CO(OH)                                                                                        ANNO
C50395   #CH3C(ONO2)(CH2(OH))CH(ONO2)CO(OOH)                                                                                       GNNO
C50396   #CH3C(ONO2)(CH2(OH))CH(ONO2)CO(OONO2)                                                                                     NNPO
C50397   #CH2(OH)CH(ONO2)C(ONO2)(CH3)CO(OH)                                                                                        ANNO
C50398   #CH2(OH)CH(ONO2)C(ONO2)(CH3)CO(OOH)                                                                                       GNNO
C50399   #CH2(OH)CH(ONO2)C(ONO2)(CH3)CO(OONO2)                                                                                     NNPO
C50400   #CH3C(OH)(CH2(ONO2))CH(ONO2)CO(OH)                                                                                        ANNO
C50401   #CH3C(OH)(CH2(ONO2))CH(ONO2)CO(OOH)                                                                                       GNNO
C50402   #CH3C(OH)(CH2(ONO2))CH(ONO2)CO(OONO2)                                                                                     NNPO
C50403   #CH2(OH)CH(ONO2)C(OOH)(CH3)CO(OOH)                                                                                        GHNO
C50404   #CH2(OH)CH(ONO2)C(OOH)(CH3)CO(OONO2)                                                                                      HNPO
C50405   #CO(OH)CH(OH)C(ONO2)(CH3)CHO                                                                                              ANDO
C50406   #CO(OOH)CH(OH)C(ONO2)(CH3)CHO                                                                                             GNDO
C50407   #CO(OONO2)CH(OH)C(ONO2)(CH3)CHO                                                                                           NDPO
C50408   #CH2(ONO2)COC(ONO2)(CH3)CO(OH)                                                                                            ANNK
C50409   #CH2(ONO2)COC(ONO2)(CH3)CO(OOH)                                                                                           GNNK
C50410   #CH2(ONO2)COC(ONO2)(CH3)CO(OONO2)                                                                                         NNKP
C50411   #CH2(OH)COC(OOH)(CH2(OH))CH2(OH)                                                                                          HKOOO
C50412   #CH2(OH)COC(O.)(CH2(OH))CH2(OH)                                                                                           1.KOOO
C50413   #CH2(OH)CH(OH)C(OOH)(CH2(OH))CHO                                                                                          HDOOO
C50414   #CH2(OH)CH(OH)C(O.)(CH2(OH))CHO                                                                                           1.DOOO
C50415   #CH2(OH)C(OH)(CH2(OH))CH(OOH)CHO                                                                                          HDOOO
C50416   #CH2(OH)C(OH)(CH2(OH))CH(O.)CHO                                                                                           1.DOOO
C50417   #CH2(OH)CH(ONO2)C(OOH)(CH2(OH))CHO                                                                                        HNDOO
C50418   #CH2(OH)CH(ONO2)C(ONO2)(CH2(OH))CHO                                                                                       NNDOO
C50419   #CH2(OH)CH(ONO2)COCH2(OH)                                                                                                 NKOO
C50420   #C1H(OH)CO-O-COC1(OOH)CH3                                                                                                 THKKE
C50421   #C1H(OH)CO-O-COC1(O.)CH3                                                                                                  1.TKKE
C50422   #CH3COCO-O-CH2CO(OO.)                                                                                                     3.KKKE
C50423   #CH3C(OH)(CO(OOH))CH(ONO2)CHO                                                                                             GNDO
C50424   #CH3C(OH)(CO(OONO2))CH(ONO2)CHO                                                                                           NDPO
C50425   #CH3C(ONO2)(CO(OH))CH(OH)CHO                                                                                              ANDO
C50426   #CH3C(ONO2)(CO(OOH))CH(OH)CHO                                                                                             GNDO
C50427   #CH3C(ONO2)(CO(OONO2))CH(OH)CHO                                                                                           NDPO
C50428   #CO(OOH)CdH=CdH-O-CHO                                                                                                     GUDE
C50429   #CO(OONO2)CdH=CdH-O-CHO                                                                                                   UDPE
C50430   #CH3COCH(OOH)CH(OH)-O-CHO                                                                                                 HDKOE
C50431   #CH3COCH(O.)CH(OH)-O-CHO                                                                                                  1.DKOE
C50432   #CH2(OH)CH(OH)COCH2(OH)                                                                                                   KOOO
C50433   #CH2(OH)C(OH)(CH2(OH))CHO                                                                                                 DOOO
C50434   #CH2(OH)CH(ONO2)COCHO                                                                                                     NDKO
C50435   #CH3COCO-O-CH2CO(OH)                                                                                                      AKKE
C50436   #CH3COCO-O-CH2CO(OOH)                                                                                                     GKKE
C50437   #CH3COCO-O-CH2CO(OONO2)                                                                                                   KKPE
C50438   #CH2(OH)COCH(OH)CHO                                                                                                       DKOO
C50439   #CH3COCO-O-CHO                                                                                                            DKKE
C50440   #CH2(OH)COCH(OH)CO(OO.)                                                                                                   3.KKOO
C50441   #CH2(OH)COCH(OH)CO(OOH)                                                                                                   GKOO
C50442   #CH2(OH)COCH(OH)CO(OONO2)                                                                                                 KPOO
C50443   #CH2(ONO2)CH(OH)C(OH)(CH3)CO(OO.)                                                                                         3.NKOO
C50444   #CH2(ONO2)CH(OH)C(OH)(CH3)CO(OH)                                                                                          ANOO
C50445   #CH2(ONO2)CH(OH)C(OH)(CH3)CO(OOH)                                                                                         GNOO
C50446   #CH2(ONO2)CH(OH)C(OH)(CH3)CO(OONO2)                                                                                       NPOO
C50447   #CH2(ONO2)CH(OH)C(OH)(CH3)CHO                                                                                             NDOO
C50448   #CH3C(OH)(CH2(ONO2))CH(OH)CHO                                                                                             NDOO
C50449   #CH2(OH)COCOCH2(OH)                                                                                                       KKOO
C50450   #CH2(OH)COCOCHO                                                                                                           DKKO
C50452   #CH2(OH)CH(OH)C(OH)(CH3)CH2(ONO2)                                                                                         NOOO
C50453   #CH2(OH)COCH(OH)CH2(O.)                                                                                                   1.KOO
C50454   #CH3C(OH)(CHO)CH(OH)CHO                                                                                                   DDOO
C50455   #CH2(OH)COCH(OO.)CH2(OH)                                                                                                  2.KOO
C50456   #CH2(OH)COCH(OOH)CH2(OH)                                                                                                  HKOO
C50457   #CH2(OH)COCH(O.)CH2(OH)                                                                                                   1.KOO
C50458   #C1H(OH)CH2-O-COC1(OH)CH3                                                                                                 TKOE
C50459   #CH3C(OH)(CH2(OH))CH(ONO2)CH2(OH)                                                                                         NOOO
C50460   #CH2(OH)COCH(OH)CH2(OOH)                                                                                                  HKOO
C50461   #CH2(OH)CH(OH)Cd(CH2(OH))=CdH2                                                                                            UOOO
C50462   #CH2(OH)COCH(OH)CH2(OO.)                                                                                                  2.KOO
C50463   #CH2(OH)COCH(OH)CH2(ONO2)                                                                                                 NKOO
C50464   #CH3COCH2CH(OH)CH2(OH)                                                                                                    KOO
C50465   #CH3Cd(CH2(OH))=CdHCH2(OH)                                                                                                UOO
C50466   #CH2(OH)CH(ONO2)C(OH)(CH2(OH))CHO                                                                                         NDOOO
C50467   #CH3C(OH)(CH2(OH))CdH=CdH2                                                                                                UOO
C50468   #CH2(OH)CH(OH)Cd(CH3)=CdH2                                                                                                UOO
C50469   #CH3C(OH)(CH2(OH))CH(OH)CHO                                                                                               DOOO
C50470   #CH2(OH)COCdH=CdH2                                                                                                        UKO
C50471   #CH2(OH)COC.(OO.)                                                                                                         4.KO
C50472   #CH2(OH)COC.(OO.)                                                                                                         4.KO
C50473   #HOCH2COCO2H                                                                                                              KK
C50474   #C1H(OH)CO-O-COC1(OH)CH3                                                                                                  TKKOE
C50475   #CH2(OH)CH(OH)C(OH)(CH3)CHO                                                                                               DOOO
C50476   #CH2(OH)CH(ONO2)C(OH)(CH2(OH))CH2(OH)                                                                                     NOOOO
C50477   #CH3C(ONO2)(CHO)CH(OH)CHO                                                                                                 NDDO
C50478   #CH3C(ONO2)(CH2(OH))CH(OH)CH2(OH)                                                                                         NOOO
C50479   #CHOCH(OH)C(ONO2)(CH3)CHO                                                                                                 DOND
C50480   #CHOC.O                                                                                                                   0.D
**beta-myrcene, loosely based on isoprene and 2-methylbut-2-ene
BMYRCN   #CH3Cd(CH3)=CdHCH2CH2Cd(=CdH2)CdH=CdH2                                                                                    UUU
CMYRCA   #SMYRCA.                                                                                                                  0.UUO
CMYRCC   #SMYRCC.                                                                                                                  0.UUO
TMYRCA   #TMYRCA.                                                                                                                  0.UUO
TMYRCC   #TMYRCC.                                                                                                                  0.UUO
CMCAO2   #SMYRCAO2.                                                                                                                2.UUO
CMCCO2   #SMYRCCO2.                                                                                                                2.UUO
TMCAO2   #MYRCAO2.                                                                                                                 2.UUO
TMCCO2   #MYRCCO2.                                                                                                                 2.UUO
CMYCAO   #SMYRCAO.                                                                                                                 1.UUO
CMYCCO   #SMYRCCO.                                                                                                                 1.UUO
TMYCAO   #MYRCAO.                                                                                                                  1.UUO
TMYCCO   #MYRCCO.                                                                                                                  1.UUO
** beta-ocimene
BOCIMN   #CH3Cd(CH3)=CdHCH2CdH=Cd(CH3)CdH=CdH2                                                                                     UUU
** for isoprene soa
IEPOXA   #C1H2-O-C1HC(OH)(CH3)CH2(OH)                                                                                              IOO
IEPOXB   #CH3C1(CH2(OH))-O-C1HCH2(OH)                                                                                              IOO
IEPOXC   #C1H2-O-C1(CH3)CH(OH)CH2(OH)                                                                                              IOO
ISOPN1   #CH2(ONO2)CH(OH)Cd(CH3)=CdH2                                                                                              NUO
ISOPN2   #CH3Cd(CH2(OH))=CdHCH2(ONO2)                                                                                              NUO
ISOPN3   #CH3C(ONO2)(CH2(OH))CdH=CdH2                                                                                              NUO
ISOPN4   #CH2(OH)CdH=Cd(CH3)CH2(ONO2)                                                                                              NUO
ISOPN5   #CH2(OH)CH(ONO2)Cd(CH3)=CdH2                                                                                              NUO
DHDN1    #CH3C(ONO2)(CH2(OH))CH(OH)CH2(ONO2)                                                                                       NNOO
DHDN2    #CH3C(ONO2)(CH2(OH))CH(ONO2)CH2(OH)                                                                                       NNOO
ISPOO1   #CH2(OOH)CH(OH)Cd(CH3)=CdH2                                                                                               HUO
ISPOO2   #CH3Cd(CH2(OH))=CdHCH2(OOH)                                                                                               HUO
ISPOO3   #CH3C(OOH)(CH2(OH))CdH=CdH2                                                                                               HUO
ISPOO4   #CH2(OH)CdH=Cd(CH3)CH2(OOH)                                                                                               HUO
ISPOO5   #CH2(OH)CH(OOH)Cd(CH3)=CdH2                                                                                               HUO
ONITRA   #CH3C(OH)(CH2(OH))CH(OH)CH2(ONO2)                                                                                         NOOO
** furans
FU0001   #-O1-CdH=CdHCdH=Cd1H                                                                                                      TUUE 
FU0002   #-O1-CdH=CdHCdH=Cd1CH3                                                                                                    TUUE 
FU0003   #-O1-CdH=CdHCd(=Cd1H)CH3                                                                                                  TUUE 
FU0004   #-O1-Cd(CH3)=CdHCdH=Cd1CH3                                                                                                TUUE 
FU0005   #-O1-COCdH=CdHC1(OH)CH3                                                                                                   TUKOE 
FU0006   #-O1-CdH=CdHCdH=Cd1CH2CH3                                                                                                 TUUE 
FU0007   #-O1-CdH=CdHCdH=Cd1CHO                                                                                                    TUUDE
FU0008   #Cd1(OH)=Cd(NO2)CdH=CdH-O1-                                                                                               TUUVOE
FU0009   #-O1-CdH=CdHCdH=Cd1CO(OH)                                                                                                 TAUUE
FU0010   #-O1-CdH=CdHCd(=Cd1H)CHO                                                                                                  TUUDE
FU0011   #-O1-CdH=CdHCdH=Cd1CH2(OH)                                                                                                TUUOE
FU0012   #Cd1(NO2)=Cd(OH)CdH=CdH-O1-                                                                                               TUUVOE
FU0013   #-O1-CdH=CdHCd(=Cd1H)CO(OH)                                                                                               TAUUE
FU0014   #-O1-CdH=CdHCdH=Cd1CO(OO.)                                                                                                3.TUUKE
FU0015   #-O1-CdH=CdHCdH=Cd1CO(OOH)                                                                                                TGUUE
FU0016   #Cd1H=CdHCdH=Cd(OO.)-O1-                                                                                                  2.TUUE
FU0017   #Cd1(OOH)=CdHCdH=CdH-O1-                                                                                                  THUUE
FU0018   #Cd1H=CdHCdH=Cd(O.)-O1-                                                                                                   1.TUUE
FU0019   #-O1-CdH=CdHCd(=Cd1H)CO(OO.)                                                                                              3.TUUKE
FU0020   #-O1-CdH=CdHCd(=Cd1H)CO(OOH)                                                                                              TGUUE
FU0021   #-O1-CdH=Cd(OO.)CdH=Cd1H                                                                                                  2.TUUE
FU0022   #-O1-CdH=CdHCd(OOH)=Cd1H                                                                                                  THUUE
FU0023   #-O1-CdH=Cd(O.)CdH=Cd1H                                                                                                   1.TUUE
FU0024   #-O1-C(OO.)(CH3)CdH=CdHC1(OH)CH3                                                                                          2.TUOE
FU0025   #-O1-Cd(CH3)=CdHCH(O.)C1(OH)CH3                                                                                           1.TUOE
FU0026   #-O1-Cd(CH3)=CdHCH(OO.)C1(OH)CH3                                                                                          2.TUOE
FU0027   #-O1-CH(OH)CdH=CdHC1(O.)CH3                                                                                               1.TUOE 
FU0028   #-O1-CH(OH)CdH=CdHC1(OO.)CH3                                                                                              2.TUOE  
FU0029   #-O1-CH(OH)CdH=CdHC1(O.)CH2CH3                                                                                            1.TUOE
FU0030   #-O1-CH(OH)CdH=CdHC1(OO.)CH2CH3                                                                                           2.TUOE 
FU0031   #-O1-CH(OH)CH(O.)CdH=Cd1CH3                                                                                               1.TUOE 
FU0032   #-O1-CH(OH)CH(OO.)CdH=Cd1CH3                                                                                              2.TUOE    
FU0033   #-O1-CH(OH)CH(O.)CdH=Cd1CH2CH3                                                                                            1.TUOE
FU0034   #-O1-CH(OH)CH(OO.)CdH=Cd1CH2CH3                                                                                           2.TUOE  
FU0035   #-O1-CH(OO.)Cd(CH3)=CdHC1H(OH)                                                                                            2.TUOE   
FU0036   #-O1-C(O.)(CH3)CdH=CdHC1(OH)CH3                                                                                           1.TUOE
FU0037   #CHOCdH=CdHCH(OH)(OO.)                                                                                                    2.UDO 
FU0038   #CHOCdH=CdHCH(OH)(O.)                                                                                                     1.UDO
FU0040   #CH3Cd(CHO)=CdHCH(OH)(OO.)                                                                                                2.UDO
FU0041   #CH3Cd(CHO)=CdHCH(OH)(O.)                                                                                                 1.UDO
FU0042   #CH3COCdH=CdHCH(OH)(OO.)                                                                                                  2.UKO
FU0043   #CH3COCdH=CdHCH(OH)(O.)                                                                                                   1.UKO
FU0044   #CHOCdH=CdHCH(OH)(OO.)                                                                                                    2.UDO
FU0045   #CHOCdH=CdHCH(OH)(O.)                                                                                                     1.UDO
FU0046   #CH3CH2COCdH=CdHCH(OH)(OO.)                                                                                               2.UKO
FU0047   #CH3CH2COCdH=CdHCH(OH)(O.)                                                                                                1.UKO
FU0048   #CH3COCdH=CdHC(OH)(OO.)CH3                                                                                                2.UKO
FU0049   #CH3COCdH=CdHC(OH)(O.)CH3                                                                                                 1.UKO
FU0050   #CHOCdH=CdHC(.)(OH)CHO                                                                                                    0.UDDO
FU0051   #CHOCdH=CdHC(OO.)(OH)CHO                                                                                                  2.UDDO
FU0052   #-O1-CH(OH)CdH=CdHC1(.)CHO                                                                                                0.TUDOE
FU0053   #-O1-CH(OH)CdH=CdHC1(OO.)CHO                                                                                              2.TUDOE
FU0054   #-O1-CH(OH)CdH=CdHC1(OOH)CHO                                                                                              THUDE
** mcm_dic.dat, version of Feb 9, 2016, compatible with v3.3.1
** species produced in hvdiss2
*FURON    #-O1-COCdH=CdHC1H2
*MALAHY   #-O1-COCdH=CdHC1O
** isoprene subset created Feb 29, 2016.
ISOPRN   #CH3Cd(=CdH2)CdH=CdH2                                                                                                     UU
C50002   #CH3Cd(CH2(ONO2))=CdHCH2(OO.)                                                                                             2.NU
MACR     #CH3Cd(CHO)=CdH2                                                                                                          UD
C50004   #CH2OOE.                                                                                                                  4.
MVK      #CH3COCdH=CdH2                                                                                                            UK
C50006   #CdH2=Cd(CH3)C.(OO.)                                                                                                      4.U
C50007   #CdH2=CdHC(CH3).(OO.)                                                                                                     4.U
C50008   #CH2(OH)Cd(CH3)=CdHCH2.                                                                                                   0.UO
END
