!!! SPECIES                                             ;   k298    ;     A     ;   n ;   E/R   ; CODE1     ; CODE2     ; CODE3
!
!
CH3CO(Cd(CH3)=CdH2)                                            ; 1.18E-17  ; 1.18E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3CH2CO(CdH=CdHCH3)                                           ; 6.40E-17  ; 6.40E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3CO(Cd(CH3)=CdHCH3)                                          ; 4.07E-17  ; 4.07E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3CO(CdH=Cd(CH3)CH3)                                          ; 8.30E-18  ; 8.30E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
!
! Other unsaturated acyclic ketones                    
!
CH3CO(CH2CH2CdH=CdH2)                                          ; 9.20E-18  ; 9.20E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3CO(CH2CH2CdH=Cd(CH3)CH3)                                    ; 3.90E-16  ; 3.90E-16  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
!
! Cyclic ketones                                        
!
C1OCdH=CdHCH2CH2C1H2                                           ; 1.20E-18  ; 1.20E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
C1OCH2CdH=Cd(CH3)CH2C1H2                                       ; 7.40E-17  ; 7.40E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3CO(CdH=CdHCd1=Cd(CH3)CH2CH2CH2C1(CH3)CH3)                   ; 2.20E-17  ; 2.20E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
!CH3CO(Cd2=Cd(CH3)C3HC(CH3)(CH3)C1HCH2CH2CH(CH3)C1(C3H2)C2H2)   ; 2.20E-18  ; 2.20E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
!
! Diketones                                              
!
CH3CO(CdH=CdHCO(CH3))                                          ; 1.80E-18  ; 1.80E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ; VALUECIS   ;
!CH3CO(CdH=CdHCO(CH3))                                          ; 8.30E-18  ; 8.30E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ; VALUETRANS  ;
!
! Hydroxyketones                                          
!
CH3CO(Cd(OH)=Cd(OH)CO(CH3))                                    ; 3.60E-18  ; 3.60E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
!
! Vinyl ethers                                             
!
CdH2=CdH-O-CH2CH3                                              ; 1.90E-16  ; 1.90E-16  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=Cd(-O-CH3)-O-CH3                                          ; 4.80E-16  ; 4.80E-16  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=Cd(-O-CH3)CH3                                             ; 1.20E-17  ; 1.20E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=CdH-O-CH2CH2CH3                                           ; 2.30E-16  ; 2.30E-16  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
!CH3CdH=CdH-O-CH2CH3                                            ;   >5E-16  ;   >5E-16  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=Cd(-O-CH2CH3)CH3                                          ; 1.92E-17  ; 1.92E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=CdH-O-CH2CH2CH2CH3                                        ; 2.60E-16  ; 2.60E-16  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=CdH-O-CH2CH(CH3)CH3                                       ; 2.85E-16  ; 2.85E-16  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=CdH-O-C(CH3)(CH3)CH3                                      ; 5.30E-16  ; 5.30E-16  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH2(OH)CH2-O-CdH=CdH2                                          ; 2.00E-16  ; 2.00E-16  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=CdH-O-CH2CH2-O-CdH=CdH2                                   ; 5.40E-16  ; 5.40E-16  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=CdH-O-CH2CH2-O-CH2CH2-O-CdH=CdH2                          ; 2.70E-16  ; 2.70E-16  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3CO(CdH=CdH-O-CH3)                                           ; 1.30E-17  ; 1.30E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
!
! Furans and hydrofurans                  
!
-O1-CH2CdH=CdHC1H2                                             ; 1.60E-17  ; 1.60E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3Cd1=CdHCH2CH2-O1-                                           ; 3.50E-15  ; 3.50E-15  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
-O1-CdH=CdHCdH=Cd1H                                            ; 2.40E-18  ; 2.40E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3Cd1=CdH-O-CdH=Cd1H                                          ; 2.00E-17  ; 2.00E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
!
! a.b-unsaturated ethers (allyl ethers)    
!
CdH2=CdHCH2-O-CH2CH3                                           ; 8.80E-18  ; 8.80E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=CdHC1HCH2-O1-                                             ; 1.60E-17  ; 1.60E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=CdHC1(CH3)CH2-O1-                                         ; 2.63E-18  ; 2.63E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
C1H(OH)-O-C(CdH=CdH2)(CH3)CH2C1H2                              ; 3.50E-18  ; 3.50E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
!
! Other ethers                    
!
CH3-O-Cd1=CdHCdH=Cd(CH2CdH=CdH2)CdH=Cd1H                       ; 1.03E-17  ; 1.03E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
!
! Alk-1-enoic acids                
!
CdH2=CdHCO(OH)                                                 ; 6.50E-19  ; 6.50E-19  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3Cd(CO(OH))=CdH2                                             ; 4.10E-18  ; 4.10E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3CH2CdH=CdHCO(OH)                                            ; 3.10E-18  ; 3.10E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ; VALUETRANS  ;
!
! Alkanoic acid alk-1-enyl esters   
!
CH3CO(-O-CdH=CdH2)                                             ; 3.20E-18  ; 3.20E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3CO(-O-Cd(CH3)=CdH2)                                         ; 5.40E-19  ; 5.40E-19  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3CO(-O-CdH=Cd(CH3)CH3)                                       ; 2.76E-18  ; 2.76E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3CH2CO(-O-CdH=CdH2)                                          ; 5.30E-18  ; 5.30E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
!
! Other alkanoic acid alkenyl esters 
!
CH3CO(-O-CH2CdH=CdH2)                                          ; 2.50E-18  ; 2.50E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3CH2CdH=CdHCH2CH2-O-CHO                                      ; 4.06E-17  ; 4.06E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ; VALUECIS   ;
CH3CO(-O-CH2CH2CdH=CdHCH2CH3)                                  ; 5.80E-17  ; 5.80E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ; VALUECIS   ;
CH3CH2CdH=CdHCH2CH2-O-CO(CH2CH3)                               ; 7.62E-17  ; 7.62E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ; VALUECIS   ;
CH3CH2CdH=CdHCH2CH2-O-CO(CH2CH2CH3)                            ; 1.23E-16  ; 1.23E-16  ; 0.0 ;    0.0 ; MJ20KMV000 ; VALUECIS   ;
!
! Alk-1-enoic acid alkyl esters  
!
CdH2=CdHCO(-O-CH3)                                             ; 1.10E-18  ; 1.10E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=CdHCO(-O-CH2CH2CH2CH3)                                    ; 2.40E-18  ; 2.40E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3Cd(CO(-O-CH3))=CdH2                                         ; 6.45E-18  ; 6.45E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3Cd(CO(-O-CH2CH3))=CdH2                                      ; 7.70E-18  ; 7.70E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3Cd(CO(-O-CH2CH2CH3))=CdH2                                   ; 8.46E-18  ; 8.46E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3Cd(CO(-O-CH2CH2CH2CH3))=CdH2                                ; 1.00E-17  ; 1.00E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3Cd(CO(-O-CH(CH3)CH3))=CdH2                                  ; 1.12E-17  ; 1.12E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3Cd(CO(-O-CH2CH(CH3)CH3))=CdH2                               ; 1.08E-17  ; 1.08E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH3CdH=CdHCO(-O-CH2CH3)                                        ; 8.00E-18  ; 8.00E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CO(-O-CH2CH3)CdH=Cd(CH3)CH3                                    ; 8.20E-18  ; 8.20E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
!
! Hydroxyalkenyl nitrates
!
!CdH2=Cd(CH3)CH(ONO2)CH2(OH)                                    ; see comme ;           ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CH2(OH)Cd(CH3)=CdHCH2(ONO2)                                    ; 2.90E-17  ; 2.90E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
!
! Oxoalkenyl nitrates   
!
CHOCd(CH3)=CdHCH2(ONO2)                                        ; 4.40E-18  ; 4.40E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
!
! Peroxyacyl nitrates    
!
CdH2=Cd(CH3)CO(OONO2)                                          ; 8.20E-18  ; 8.20E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
END

